name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,,
SMU,6,4,1,51,40,77, ['North Texas (6 - 5)', 'Maryland (6 - 4)', 'TCU (10 - 0)', 'UCF (8 - 2)', 'Navy (3 - 7)', 'Cincinnati (8 - 2)', 'Tulsa (3 - 7)', 'Houston (6 - 4)', 'South Florida (1 - 9)'],,,,,,,,
Kentucky,6,4,1,50,40,33, ['Miami (OH) (4 - 6)', 'Florida (6 - 4)', 'Northern Illinois (3 - 7)', 'Ole Miss (8 - 2)', 'South Carolina (6 - 4)', 'Mississippi State (6 - 4)', 'Tennessee (9 - 1)', 'Missouri (4 - 6)', 'Vanderbilt (4 - 6)'],,,,,,,,
Fresno State,6,4,1,50,42,64, ['Oregon State (7 - 3)', 'USC (9 - 1)', 'Connecticut (6 - 5)', 'Boise State (7 - 3)', 'San José State (7 - 3)', 'New Mexico (2 - 8)', 'San Diego State (6 - 4)',Hawai'i (2 - 9), 'UNLV (4 - 6)'],,,,,,,,
Iowa,6,4,1,49,41,40, ['Iowa State (4 - 6)', 'Nevada (2 - 8)', 'Rutgers (4 - 6)', 'Michigan (10 - 0)', 'Illinois (7 - 3)', 'Ohio State (10 - 0)', 'Northwestern (1 - 9)', 'Purdue (6 - 4)', 'Wisconsin (5 - 5)'],,,,,,,,
East Carolina,6,4,1,48,42,89, ['NC State (7 - 3)', 'Old Dominion (3 - 7)', 'Navy (3 - 7)', 'South Florida (1 - 9)', 'Tulane (8 - 2)', 'Memphis (5 - 5)', 'UCF (8 - 2)', 'BYU (5 - 5)', 'Cincinnati (8 - 2)'],,,,,,,,
Washington State,6,4,1,48,42,71, ['Wisconsin (5 - 5)', 'Colorado State (2 - 8)', 'Oregon (8 - 2)', 'California (3 - 7)', 'USC (9 - 1)', 'Oregon State (7 - 3)', 'Utah (8 - 2)', 'Stanford (3 - 7)', 'Arizona State (3 - 7)'],,,,,,,,
San Diego State,6,4,1,47,44,0, ['Arizona (4 - 6)', 'Utah (8 - 2)', 'Toledo (7 - 3)', 'Boise State (7 - 3)',Hawai'i (2 - 9), 'Nevada (2 - 8)', 'Fresno State (6 - 4)', 'UNLV (4 - 6)', 'San José State (7 - 3)'],,,,,,,,
Baylor,6,4,1,46,44,96, ['BYU (5 - 5)', 'Texas State (3 - 7)', 'Iowa State (4 - 6)', 'Oklahoma State (7 - 3)', 'West Virginia (4 - 6)', 'Kansas (6 - 4)', 'Texas Tech (5 - 5)', 'Oklahoma (5 - 5)', 'Kansas State (7 - 3)'],,,,,,,,
Pittsburgh,6,4,1,46,44,61, ['West Virginia (4 - 6)', 'Tennessee (9 - 1)', 'Western Michigan (3 - 7)', 'Georgia Tech (4 - 6)', 'Virginia Tech (2 - 8)', 'Louisville (6 - 4)', 'North Carolina (9 - 1)', 'Syracuse (6 - 4)', 'Virginia (3 - 7)'],,,,,,,,
South Carolina,6,4,1,44,47,24, ['Georgia State (4 - 6)', 'Arkansas (5 - 5)', 'Georgia (10 - 0)', 'Charlotte (2 - 9)', 'Kentucky (6 - 4)', 'Texas A&M (3 - 7)', 'Missouri (4 - 6)', 'Vanderbilt (4 - 6)', 'Florida (6 - 4)'],,,,,,,,
