name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
Georgia Southern, 5, 3, 1, 29, 26, 52, ['Nebraska (3 - 5)', 'UAB (4 - 4)', 'Ball State (4 - 4)', 'Coastal Carolina (7 - 1)', 'Georgia State (3 - 5)', 'James Madison (5 - 2)', 'Old Dominion (3 - 5)']
Minnesota, 5, 3, 1, 29, 28, 140, ['New Mexico State (3 - 6)', 'Colorado (1 - 7)', 'Michigan State (3 - 5)', 'Purdue (5 - 3)', 'Illinois (7 - 1)', 'Penn State (6 - 2)', 'Rutgers (4 - 4)']
Baylor, 5, 3, 1, 28, 29, 121, ['BYU (4 - 5)', 'Texas State (3 - 5)', 'Iowa State (3 - 5)', 'Oklahoma State (6 - 2)', 'West Virginia (3 - 5)', 'Kansas (5 - 3)', 'Texas Tech (4 - 4)']
Duke, 5, 3, 1, 25, 31, 98, ['Temple (2 - 6)', 'Northwestern (1 - 7)', 'Kansas (5 - 3)', 'Virginia (3 - 5)', 'Georgia Tech (3 - 5)', 'North Carolina (7 - 1)', 'Miami (4 - 4)']
Air Force, 5, 3, 1, 25, 33, 113, ['Colorado (1 - 7)', 'Wyoming (6 - 3)', 'Nevada (2 - 7)', 'Navy (3 - 5)', 'Utah State (3 - 5)', 'UNLV (4 - 4)', 'Boise State (6 - 2)']
Ohio, 5, 3, 1, 21, 36, -19, ['Florida Atlantic (3 - 5)', 'Penn State (6 - 2)', 'Iowa State (3 - 5)', 'Kent State (3 - 5)', 'Akron (1 - 8)', 'Western Michigan (3 - 5)', 'Northern Illinois (2 - 6)']
Appalachian State, 5, 3, 2, 27, 20, 102, ['North Carolina (7 - 1)', 'Texas A&M (3 - 5)', 'Troy (6 - 2)', 'James Madison (5 - 2)', 'Texas State (3 - 5)', 'Georgia State (3 - 5)']
Western Kentucky, 5, 4, 1, 34, 32, 97, ["Hawai'i (2 - 7)", 'Indiana (3 - 5)', 'Florida International (4 - 4)', 'Troy (6 - 2)', 'UT San Antonio (6 - 2)', 'Middle Tennessee (4 - 4)', 'UAB (4 - 4)', 'North Texas (5 - 4)']
North Texas, 5, 4, 1, 32, 34, 31, ['UTEP (4 - 5)', 'SMU (4 - 4)', 'UNLV (4 - 4)', 'Memphis (4 - 4)', 'Florida Atlantic (3 - 5)', 'Louisiana Tech (2 - 6)', 'UT San Antonio (6 - 2)', 'Western Kentucky (5 - 4)']
Eastern Michigan, 5, 4, 1, 28, 37, -29, ['Louisiana (4 - 4)', 'Arizona State (3 - 5)', 'Buffalo (5 - 3)', 'UMass (1 - 7)', 'Western Michigan (3 - 5)', 'Northern Illinois (2 - 6)', 'Ball State (4 - 4)', 'Toledo (6 - 3)']
Memphis, 4, 4, 0, 35, 32, 28, ['Mississippi State (5 - 3)', 'Navy (3 - 5)', 'Arkansas State (2 - 7)', 'North Texas (5 - 4)', 'Temple (2 - 6)', 'Houston (5 - 3)', 'East Carolina (6 - 3)', 'Tulane (7 - 1)']
Florida, 4, 4, 1, 38, 18, 1, ['Utah (6 - 2)', 'Kentucky (5 - 3)', 'South Florida (1 - 7)', 'Tennessee (8 - 0)', 'Missouri (4 - 4)', 'LSU (6 - 2)', 'Georgia (8 - 0)']
SMU, 4, 4, 1, 37, 20, 45, ['North Texas (5 - 4)', 'Maryland (6 - 2)', 'TCU (8 - 0)', 'UCF (6 - 2)', 'Navy (3 - 5)', 'Cincinnati (6 - 2)', 'Tulsa (3 - 5)']
Texas Tech, 4, 4, 1, 36, 20, 37, ['Houston (5 - 3)', 'NC State (6 - 2)', 'Texas (5 - 3)', 'Kansas State (6 - 2)', 'Oklahoma State (6 - 2)', 'West Virginia (3 - 5)', 'Baylor (5 - 3)']
Washington State, 4, 4, 1, 35, 21, 23, ['Wisconsin (4 - 4)', 'Colorado State (2 - 6)', 'Oregon (7 - 1)', 'California (3 - 5)', 'USC (7 - 1)', 'Oregon State (6 - 2)', 'Utah (6 - 2)']
Fresno State, 4, 4, 1, 35, 22, 15, ['Oregon State (6 - 2)', 'USC (7 - 1)', 'Connecticut (4 - 5)', 'Boise State (6 - 2)', 'San José State (6 - 2)', 'New Mexico (2 - 6)', 'San Diego State (4 - 4)']
Iowa, 4, 4, 1, 33, 24, 5, ['Iowa State (3 - 5)', 'Nevada (2 - 7)', 'Rutgers (4 - 4)', 'Michigan (8 - 0)', 'Illinois (7 - 1)', 'Ohio State (8 - 0)', 'Northwestern (1 - 7)']
Pittsburgh, 4, 4, 1, 31, 25, 21, ['West Virginia (3 - 5)', 'Tennessee (8 - 0)', 'Western Michigan (3 - 5)', 'Georgia Tech (3 - 5)', 'Virginia Tech (2 - 6)', 'Louisville (5 - 3)', 'North Carolina (7 - 1)']
Missouri, 4, 4, 1, 31, 25, 19, ['Louisiana Tech (2 - 6)', 'Kansas State (6 - 2)', 'Auburn (3 - 5)', 'Georgia (8 - 0)', 'Florida (4 - 4)', 'Vanderbilt (3 - 5)', 'South Carolina (5 - 3)']
